time,sn_day_avg,sn_day_max,sn_day_min,sm_day_avg,sm_day_max,sm_day_min,sx_day_avg,sx_day_max,sx_day_min,dn_day_avg,dn_day_max,dn_day_min,dm_day_avg,dm_day_max,dm_day_min,dx_day_avg,dx_day_max,dx_day_min,ta_day_avg,ta_day_max,ta_day_min,pa_day_avg,pa_day_max,pa_day_min,tp_day_avg,tp_day_max,tp_day_min,ua_day_avg,ua_day_max,ua_day_min,rc_day_avg,rc_day_max,rc_day_min,rd_day_avg,rd_day_max,rd_day_min,ri_day_avg,ri_day_max,ri_day_min,rp_day_avg,rp_day_max,rp_day_min,
2016-12-26 00:00:00+01,1.22,10.30,0.10,3.82,17.90,0.80,6.40,23.00,1.50,207.74,353.00,0.00,267.48,328.00,110.00,242.30,359.00,0.00,7.15,8.70,5.40,993.34,994.90,991.80,7.29,8.90,5.40,75.19,83.70,59.70,0.09,2.04,0.00,457.52,9800.00,0.00,0.00,0.10,0.00,0.32,6.80,0.00,
2016-12-27 00:00:00+01,1.47,7.50,0.10,5.09,11.00,1.60,8.75,18.30,3.30,205.57,280.00,98.00,266.39,324.00,229.00,246.52,359.00,0.00,3.86,5.40,2.50,994.46,998.10,992.20,4.34,5.60,3.20,62.11,76.30,51.80,0.12,0.30,0.00,986.78,2380.00,0.00,0.02,1.80,0.00,0.77,1.80,0.00,
2016-12-28 00:00:00+01,0.89,3.90,0.10,3.19,6.80,0.70,5.66,12.70,1.50,244.00,327.00,123.00,308.74,358.00,2.00,155.57,359.00,0.00,1.84,3.50,0.80,1002.93,1008.20,998.40,2.95,4.20,2.20,57.81,63.30,51.90,0.01,0.30,0.00,98.13,2220.00,0.00,0.00,0.00,0.00,0.08,1.80,0.00,
2016-12-29 00:00:00+01,0.62,3.50,0.00,1.62,5.70,0.10,2.61,9.60,0.30,255.17,358.00,2.00,264.35,359.00,0.00,151.09,359.00,0.00,-0.14,1.40,-2.30,1012.27,1013.70,1008.90,1.71,2.80,0.30,62.73,70.00,57.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2016-12-30 00:00:00+01,0.45,2.30,0.00,1.04,3.80,0.10,1.68,4.70,0.40,202.83,352.00,0.00,245.04,353.00,2.00,246.30,359.00,0.00,-2.24,1.90,-4.80,1010.64,1013.10,1007.80,0.43,3.20,-1.90,68.86,77.40,55.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2016-12-31 00:00:00+01,0.55,2.80,0.00,1.33,4.20,0.10,2.10,6.00,0.30,186.30,354.00,7.00,232.09,355.00,1.00,253.96,359.00,1.00,-1.35,4.00,-6.10,1003.13,1007.50,998.70,1.01,4.40,-2.80,62.35,75.50,43.10,0.00,0.00,0.00,0.48,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2017-01-01 00:00:00+01,0.49,2.80,0.00,1.10,4.00,0.20,1.66,5.30,0.40,171.87,356.00,3.00,213.74,355.00,59.00,244.09,359.00,0.00,-1.36,4.60,-4.70,993.01,998.10,988.90,1.03,5.10,-1.50,56.90,69.40,33.40,0.00,0.02,0.00,3.74,90.00,0.00,0.00,0.80,0.00,0.03,0.80,0.00,
2017-01-02 00:00:00+01,0.74,3.90,0.00,2.32,7.10,0.20,3.91,10.10,0.50,203.39,353.00,0.00,249.39,356.00,1.00,241.70,359.00,0.00,-1.75,2.00,-5.60,986.62,989.10,985.40,0.53,3.00,-2.80,67.02,79.20,50.20,0.01,0.03,0.00,163.17,490.00,0.00,0.00,0.20,0.00,0.07,0.20,0.00,
2017-01-03 00:00:00+01,1.27,6.40,0.00,3.97,9.70,0.30,6.48,15.60,0.90,200.78,280.00,92.00,256.22,329.00,224.00,259.30,359.00,0.00,-0.48,2.10,-2.50,988.59,991.00,982.50,1.20,3.00,-0.10,71.24,77.40,61.10,0.01,0.03,0.00,60.30,490.00,0.00,0.00,0.50,0.00,0.28,0.60,0.00,
2017-01-04 00:00:00+01,1.89,6.70,0.20,6.07,12.40,1.70,9.87,16.90,4.10,194.65,271.00,79.00,253.91,312.00,223.00,250.13,359.00,0.00,1.53,3.40,-0.30,972.67,981.00,968.60,2.54,4.10,1.00,68.71,81.90,58.00,0.03,0.13,0.00,275.09,890.00,0.00,0.00,3.50,0.00,0.72,4.50,0.00,
2017-01-05 00:00:00+01,0.95,4.10,0.00,3.12,7.10,0.40,5.44,12.30,0.70,260.43,359.00,0.00,288.22,359.00,0.00,125.04,359.00,0.00,-3.86,0.50,-9.00,987.22,999.90,974.40,-1.36,2.00,-5.30,57.72,72.90,42.50,0.02,0.16,0.00,145.48,1060.00,10.00,0.00,0.90,0.00,0.29,4.50,0.00,
2017-01-06 00:00:00+01,0.65,3.20,0.00,1.95,5.80,0.30,3.33,8.70,0.80,264.35,359.00,0.00,263.83,359.00,0.00,102.52,359.00,0.00,-12.39,-9.10,-16.40,1005.29,1007.90,1000.30,-7.42,-5.10,-10.30,57.44,64.80,48.70,0.00,0.01,0.00,4.87,110.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,
2017-01-07 00:00:00+01,0.67,4.30,0.00,1.80,5.30,0.30,3.00,7.60,0.60,216.13,293.00,58.00,267.57,342.00,175.00,241.09,359.00,0.00,-17.57,-14.30,-20.90,1005.59,1008.10,1001.50,-14.11,-10.20,-17.80,65.52,69.90,59.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2017-01-08 00:00:00+01,0.34,1.50,0.00,0.91,2.20,0.30,1.57,3.40,0.60,219.70,298.00,33.00,269.17,350.00,158.00,220.52,359.00,0.00,-14.75,-8.40,-20.80,1001.05,1001.90,999.90,-10.48,-4.10,-17.30,59.51,68.80,46.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
