time,sn_day_avg,sn_day_max,sn_day_min,sm_day_avg,sm_day_max,sm_day_min,sx_day_avg,sx_day_max,sx_day_min,dn_day_avg,dn_day_max,dn_day_min,dm_day_avg,dm_day_max,dm_day_min,dx_day_avg,dx_day_max,dx_day_min,ta_day_avg,ta_day_max,ta_day_min,pa_day_avg,pa_day_max,pa_day_min,tp_day_avg,tp_day_max,tp_day_min,ua_day_avg,ua_day_max,ua_day_min,rc_day_avg,rc_day_max,rc_day_min,rd_day_avg,rd_day_max,rd_day_min,ri_day_avg,ri_day_max,ri_day_min,rp_day_avg,rp_day_max,rp_day_min,
2017-02-15 00:00:00+01,0.28,1.60,0.00,0.70,2.90,0.10,1.20,3.70,0.30,203.91,359.00,0.00,205.30,359.00,0.00,192.52,359.00,0.00,2.31,10.90,-4.00,1008.10,1009.40,1006.50,4.14,11.90,-0.80,53.46,74.50,24.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2017-02-16 00:00:00+01,0.44,3.30,0.00,1.22,4.90,0.10,1.97,6.60,0.30,203.13,357.00,0.00,249.70,357.00,14.00,243.26,359.00,0.00,3.42,11.50,-3.50,1002.79,1006.10,999.50,4.86,12.20,-0.40,54.72,72.60,33.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2017-02-17 00:00:00+01,0.52,3.40,0.00,1.38,5.60,0.10,2.18,10.10,0.30,205.78,359.00,19.00,250.91,357.00,0.00,246.13,359.00,0.00,2.30,7.50,-0.60,994.73,998.90,992.70,3.41,7.90,1.40,70.41,79.90,52.10,0.70,1.94,0.00,3383.17,9610.00,0.00,0.08,2.80,0.00,1.19,3.00,0.00,
2017-02-18 00:00:00+01,0.59,2.90,0.00,1.70,4.50,0.20,2.75,6.10,0.60,215.00,290.00,61.00,267.87,331.00,174.00,239.96,359.00,0.00,2.78,4.10,1.30,996.05,998.50,993.70,3.53,4.50,2.60,78.11,81.10,72.90,0.12,1.94,0.00,900.57,9610.00,0.00,0.00,0.40,0.00,0.56,3.00,0.00,
2017-02-19 00:00:00+01,0.58,3.00,0.00,1.44,5.10,0.10,2.24,6.80,0.40,193.09,283.00,8.00,241.48,337.00,124.00,237.74,359.00,0.00,3.34,5.30,1.80,996.19,998.60,993.30,4.01,5.70,2.90,69.96,82.10,52.20,0.00,0.07,0.00,42.87,970.00,0.00,0.00,0.00,0.00,0.02,0.50,0.00,
2017-02-20 00:00:00+01,0.79,4.60,0.00,2.30,7.60,0.10,3.73,12.10,0.20,208.26,355.00,35.00,256.30,357.00,8.00,236.70,359.00,0.00,3.46,7.80,-2.30,990.01,993.50,983.00,4.48,8.30,0.30,61.87,76.40,49.40,0.00,0.00,0.00,0.39,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2017-02-21 00:00:00+01,1.20,6.30,0.00,3.84,8.90,0.40,6.35,12.30,1.20,206.65,335.00,65.00,262.96,354.00,3.00,252.39,359.00,0.00,6.21,8.70,4.50,980.25,984.10,978.30,6.32,8.90,4.70,74.19,81.10,64.10,2.60,6.87,0.00,5294.26,10860.00,0.00,0.30,25.80,0.00,11.79,28.30,0.00,
2017-02-22 00:00:00+01,1.49,7.30,0.00,4.68,11.50,0.20,7.55,19.30,0.50,197.78,356.00,2.00,244.04,359.00,0.00,238.78,359.00,0.00,7.59,11.20,3.20,979.20,985.30,972.60,7.84,11.30,3.90,64.17,71.60,55.30,0.45,6.89,0.00,1535.65,11010.00,0.00,0.07,2.20,0.00,1.80,28.30,0.00,
2017-02-23 00:00:00+01,1.00,5.50,0.00,3.05,11.10,0.10,5.00,18.10,0.30,188.57,358.00,0.00,243.26,335.00,69.00,244.48,359.00,0.00,7.40,13.60,4.90,974.24,977.70,967.20,7.48,13.70,4.90,69.52,81.60,37.40,0.45,2.24,0.00,4162.61,9400.00,10.00,0.04,7.90,0.00,1.19,10.90,0.00,
2017-02-24 00:00:00+01,1.50,8.60,0.10,5.11,14.80,0.60,8.76,24.70,1.30,205.96,309.00,77.00,266.57,338.00,211.00,226.26,359.00,0.00,7.42,13.00,0.30,974.17,987.30,965.90,7.85,13.10,1.90,47.68,65.20,35.90,0.35,0.59,0.00,1692.17,4620.00,0.00,0.02,3.10,0.00,2.48,3.20,0.00,
2017-02-25 00:00:00+01,0.77,5.70,0.00,2.61,10.00,0.30,4.48,14.80,0.70,206.74,356.00,12.00,264.04,335.00,153.00,234.30,359.00,0.00,1.45,4.80,-0.90,992.54,995.50,988.00,2.69,5.30,0.90,56.67,73.90,38.00,0.03,0.59,0.00,116.26,2630.00,0.00,0.00,0.00,0.00,0.14,3.20,0.00,
2017-02-26 00:00:00+01,0.73,5.40,0.00,2.21,9.40,0.10,3.58,14.50,0.30,215.74,359.00,0.00,239.17,359.00,0.00,215.65,359.00,0.00,4.97,8.60,0.80,989.19,994.10,987.00,5.59,8.80,2.40,42.30,61.70,26.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2017-02-27 00:00:00+01,0.43,2.50,0.00,1.15,4.90,0.10,1.88,7.50,0.30,172.09,359.00,0.00,198.52,358.00,0.00,219.30,359.00,0.00,9.88,17.10,2.60,984.92,988.50,978.90,10.55,18.40,3.50,35.92,57.80,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2017-02-28 00:00:00+01,0.83,6.60,0.00,2.26,10.20,0.10,3.56,15.20,0.30,193.61,359.00,0.00,213.04,359.00,0.00,208.91,359.00,0.00,9.64,14.40,3.10,974.12,978.50,972.10,9.95,15.00,3.80,48.41,68.10,33.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
